,ID,SId,Image,Name,Element,Damage,Description,Code,MB,Notes,Other Properties,Version,,,,,,,,,,,,,,,
,12,12,image18.png,TankCan1,,120,3sqr blst if hits end row,R Central Area 2 NetMerchant (2400 Z),17,,,CG/CF,,,,,,,,,,,,,,,
,13,13,image16.png,TankCan2,,160,3sqr blst if hits end row,"L Cateen (LV 9-S), RarCatack (LV 7-S), Chip Order",28,,,CG/CF,,,,,,,,,,,,,,,
,13,13,image16.png,TankCan2,,160,3sqr blst if hits end row,S (CG) Cateen (LV 7-10),28,,,CG/CF,,,,,,,,,,,,,,,
,13,13,image16.png,TankCan2,,160,3sqr blst if hits end row,V (CF) Cateen (LV 7-10),28,,,CG/CF,,,,,,,,,,,,,,,
,14,14,image11.png,TankCan3,,200,3sqr blst if hits end row,"B Catpult (LV 9-S), RarCatck2 (LV 7-S), Chip Order",39,,,CG/CF,,,,,,,,,,,,,,,
,14,14,image11.png,TankCan3,,200,3sqr blst if hits end row,M (CF) Catpult (LV 7-10),39,,,CG/CF,,,,,,,,,,,,,,,
,14,14,image11.png,TankCan3,,200,3sqr blst if hits end row,P (CG) Catpult (LV 7-10),39,,,CG/CF,,,,,,,,,,,,,,,
,15,15,image21.png,GunDelS1,,-,Hits row 2pnl ahd w/sunshne,* Chip Trader,15,"Deals 120 damage (240 if outside) over 60F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,15,15,image21.png,GunDelS1,,-,Hits row 2pnl ahd w/sunshne,C Aster Land normal stock (1000 Z),15,"Deals 120 damage (240 if outside) over 60F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,15,15,image21.png,GunDelS1,,-,Hits row 2pnl ahd w/sunshne,M Undernet Zero GMD,15,"Deals 120 damage (240 if outside) over 60F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,15,15,image21.png,GunDelS1,,-,Hits row 2pnl ahd w/sunshne,T Underground Area 1 GMD,15,"Deals 120 damage (240 if outside) over 60F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,16,16,image14.png,GunDelS2,,-,Hits row 2pnl ahd w/sunshne,B Chip Trader,30,"Deals 180 damage (360 if outside) over 90F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,16,16,image14.png,GunDelS2,,-,Hits row 2pnl ahd w/sunshne,E Pavillion Comp 2 BMD,30,"Deals 180 damage (360 if outside) over 90F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,16,16,image14.png,GunDelS2,,-,Hits row 2pnl ahd w/sunshne,R Graveyard (JP Graveyard 2) GMD,30,"Deals 180 damage (360 if outside) over 90F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,17,17,image15.png,GunDelS3,,-,Hits row 2pnl ahd w/sunshne,"N (JP) Immortal Area BGMD, (GBA-EN) Undernet Zero NetMerchant (12000 Z)",38,"Deals 240 damage (480 if outside) over 120F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,17,17,image15.png,GunDelS3,,-,Hits row 2pnl ahd w/sunshne,Q Green Areas YMD,38,"Deals 240 damage (480 if outside) over 120F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,17,17,image15.png,GunDelS3,,-,Hits row 2pnl ahd w/sunshne,W Lotto Number (14212857),38,"Deals 240 damage (480 if outside) over 120F, and ignores Holy panels.","Removes Barrier, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
1,18,18,,GUN DEL S EX,,,,,,,,,,,,,,,,,,,,,,,
,1S,18,image17.png,GunDelEX*,,,Fires a spread sunbeam,G Seaside Area 1 Boktai Trader,80,Boosted if Lan is outside (120 to 240).,"Pierces Barriers, Removes Invisibl",CG/CF,,,,,,,,,,,,,,,
,18,19,image12.png,YoYo,,50,YoYo atk reaches 3sq ahead,* BookComp BMD,32,"Hits 1 time going forward, 3 times at the end, 1 time coming back.","Non-Flashing, Secondary Sword",CG/CF,,,,,,,,,,,,,,,
,18,19,image12.png,YoYo,,50,YoYo atk reaches 3sq ahead,L Central Area 2 NetMerchant (4600 Z),32,"Hits 1 time going forward, 3 times at the end, 1 time coming back.","Non-Flashing, Secondary Sword",CG/CF,,,,,,,,,,,,,,,
,18,19,image12.png,YoYo,,50,YoYo atk reaches 3sq ahead,M AquarumComp1 GMD,32,"Hits 1 time going forward, 3 times at the end, 1 time coming back.","Non-Flashing, Secondary Sword",CG/CF,,,,,,,,,,,,,,,
,18,19,image12.png,YoYo,,50,YoYo atk reaches 3sq ahead,N Judge Tree Comp 2 BMD,32,"Hits 1 time going forward, 3 times at the end, 1 time coming back.","Non-Flashing, Secondary Sword",CG/CF,,,,,,,,,,,,,,,
,19,20,image19.png,FireBrn1,Fire,70,Crcks 3 sqrs ahd with fire,* RarOldSt (LV 7-10),8,,,CG/CF,,,,,,,,,,,,,,,
,19,20,image19.png,FireBrn1,Fire,70,Crcks 3 sqrs ahd with fire,F OldStov (LV 7-10),8,,,CG/CF,,,,,,,,,,,,,,,
,19,20,image19.png,FireBrn1,Fire,70,Crcks 3 sqrs ahd with fire,G OldStov (LV 9-S),8,,,CG/CF,,,,,,,,,,,,,,,
,19,20,image19.png,FireBrn1,Fire,70,Crcks 3 sqrs ahd with fire,"H OldStov (LV 5-7), Seaside Area 3 GMD, Chip Order",8,,,CG/CF,,,,,,,,,,,,,,,
,20,21,image24.png,FireBrn2,Fire,110,Crcks 3 sqrs ahd with fire,"S SoulFldr, OldHeatr (LV 7-10), (CF) RarOldSt (LV 9-S)",21,,,CG/CF,,,,,,,,,,,,,,,
,20,21,image24.png,FireBrn2,Fire,110,Crcks 3 sqrs ahd with fire,"T SoulFldr, OldHeatr (LV 9-S), (CG) RarOldSt (LV 9-S), RarOldS2 (LV 7-10)",21,,,CG/CF,,,,,,,,,,,,,,,
,20,21,image24.png,FireBrn2,Fire,110,Crcks 3 sqrs ahd with fire,"U SoulFldr, OldHeatr (LV 5-7), Chip Order",21,,,CG/CF,,,,,,,,,,,,,,,
,21,22,image22.png,FireBrn3,Fire,150,Crcks 3 sqrs ahd with fire,"C OldBurnr (LV 9-S), RarOldS2 (LV 9-S)",34,,,CG/CF,,,,,,,,,,,,,,,
,21,22,image22.png,FireBrn3,Fire,150,Crcks 3 sqrs ahd with fire,D OldBurnr (LV 7-10),34,,,CG/CF,,,,,,,,,,,,,,,
,21,22,image22.png,FireBrn3,Fire,150,Crcks 3 sqrs ahd with fire,"E OldBurnr (LV 5-7), Chip Order",34,,,CG/CF,,,,,,,,,,,,,,,
,22,23,image20.png,WideSht,Aqua,100,Fires 3sq shotgun blast!,P Aster Land normal stock (7000 Z),34,,,CG/CF,,,,,,,,,,,,,,,
,22,23,image20.png,WideSht,Aqua,100,Fires 3sq shotgun blast!,Q Underground Area 1 GMD,34,,,CG/CF,,,,,,,,,,,,,,,
,22,23,image20.png,WideSht,Aqua,100,Fires 3sq shotgun blast!,R Underground Area 2 GMD,34,,,CG/CF,,,,,,,,,,,,,,,
,23,24,image25.png,TrnArrw1,Aqua,30,Hits enmy w/arrow. Use dstnc,"A Piranha Rank 10-S, Sky Area 1 GMD",30,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,23,24,image25.png,TrnArrw1,Aqua,30,Hits enmy w/arrow. Use dstnc,F Piranha Rank 6+ (CF),30,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,23,24,image25.png,TrnArrw1,Aqua,30,Hits enmy w/arrow. Use dstnc,K Piranha Rank 6+ (CG),30,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,24,25,image23.png,TrnArrw2,Aqua,40,Hits enmy w/arrow. Use dstnc,"G Piranha2 (LV 9-S), RarePira (LV 9-S), RarePira2 (LV 5-10), Chip Order",36,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,24,25,image23.png,TrnArrw2,Aqua,40,Hits enmy w/arrow. Use dstnc,M (CG) Piranha2 (LV 5-10),36,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,24,25,image23.png,TrnArrw2,Aqua,40,Hits enmy w/arrow. Use dstnc,Z (CF) Piranha2 (LV 5-10),36,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,25,26,image26.png,TrnArrw3,Aqua,50,Hits enmy w/arrow. Use dstnc,"M (CG) Piranha3 (LV 9-S), (CG) RarePira2 (LV 9-S), Chip Order",42,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,25,26,image26.png,TrnArrw3,Aqua,50,Hits enmy w/arrow. Use dstnc,"S (CF) Piranha3 (LV 9-S), (CF) RarePira2 (LV 9-S)",42,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,25,26,image26.png,TrnArrw3,Aqua,50,Hits enmy w/arrow. Use dstnc,Y Piranha3 (LV 5-10),42,The number of arrows shot is equal to the amount of panels between MegaMan and the target +1 .,,CG/CF,,,,,,,,,,,,,,,
,26,27,image31.png,BblStar1,Aqua,60,Seals an enemy in a bubble.,"B (CF) StarFish (LV 9-S), (CF) RarStrFs (LV 7-10)",30,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,26,27,image31.png,BblStar1,Aqua,60,Seals an enemy in a bubble.,"E (CG) StarFish (LV 9-S), (CG) RarStrFs (LV 7-10), Underground 1 GMD",30,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,26,27,image31.png,BblStar1,Aqua,60,Seals an enemy in a bubble.,"T StarFish (LV 5-10), Chip Order",30,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,27,28,image27.png,BblStar2,Aqua,80,Seals an enemy in a bubble.,"C ExptFldr, (CG) StarFsh2 (LV 9-S), RarStrFs (LV 9-S), RarStrF2 (LV 7-10)",38,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,27,28,image27.png,BblStar2,Aqua,80,Seals an enemy in a bubble.,L (CF) StarFsh2 (LV 9-S),38,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,27,28,image27.png,BblStar2,Aqua,80,Seals an enemy in a bubble.,"V StarFsh2 (LV 7-10), Chip Order",38,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,28,29,image29.png,BblStar3,Aqua,100,Seals an enemy in a bubble.,"G (CG) StarFsh3 (LV 9-S), (CG) RarStrF2 (LV 9-S)",46,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,28,29,image29.png,BblStar3,Aqua,100,Seals an enemy in a bubble.,"R (CF) StarFsh3 (LV 9-S), (CF) RarStrF2 (LV 9-S)",46,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,28,29,image29.png,BblStar3,Aqua,100,Seals an enemy in a bubble.,"S StarFsh3 (LV 7-10), Chip Order",46,"Bubbles for 150F, but freezes if it hits at point blank range on Ice panels.",,CG/CF,,,,,,,,,,,,,,,
,29,30,image28.png,Thunder,Elec,40,Pralyzing electric attack!,* Class 6-1 Comp BMD,7,Paralyzes for 90F.,,CG/CF,,,,,,,,,,,,,,,
,29,30,image28.png,Thunder,Elec,40,Pralyzing electric attack!,B Central Area 2 GMD,7,Paralyzes for 90F.,,CG/CF,,,,,,,,,,,,,,,
,29,30,image28.png,Thunder,Elec,40,Pralyzing electric attack!,R Chip Order,7,Paralyzes for 90F.,,CG/CF,,,,,,,,,,,,,,,
,29,30,image28.png,Thunder,Elec,40,Pralyzing electric attack!,S AquarumComp1 GMD,7,Paralyzes for 90F.,,CG/CF,,,,,,,,,,,,,,,
,30,31,image32.png,DolThdr1,Elec,120,A piercng thunder attack!,"A ScarCrow (LV 9-S), (CG) RarScrCr (LV 5-7)",24,,,CG/CF,,,,,,,,,,,,,,,
,30,31,image32.png,DolThdr1,Elec,120,A piercng thunder attack!,"E ScarCrow (LV 7-10), (CF) RarScrCr (LV 5-7), Sky Area 2 GMD, Chip Order",24,,,CG/CF,,,,,,,,,,,,,,,
,30,31,image32.png,DolThdr1,Elec,120,A piercng thunder attack!,Q ScarCrow (LV 5-7),24,,,CG/CF,,,,,,,,,,,,,,,
,31,32,image33.png,DolThdr2,Elec,150,A piercng thunder attack!,"C ExptFldr, (CG) ScrCrow2 (LV 9-S), (CG) RarScrCr (LV 7-S), (CG) RarScrC2 (LV 5-7)",31,,,CG/CF,,,,,,,,,,,,,,,
,31,32,image33.png,DolThdr2,Elec,150,A piercng thunder attack!,"L (CF) ScrCrow2 (LV 9-S), (CF) RarScrCr (LV 7-S), (CF) RarScrC2 (LV 5-7), Chip Order",31,,,CG/CF,,,,,,,,,,,,,,,
,31,32,image33.png,DolThdr2,Elec,150,A piercng thunder attack!,P ScrCrow2 (LV 7-10),31,,,CG/CF,,,,,,,,,,,,,,,
,32,33,image30.png,DolThdr3,Elec,180,A piercng thunder attack!,"B (CG) ScrCrow3 (LV 9-S), (CG) RarScrC2 (LV 7-S)",38,,,CG/CF,,,,,,,,,,,,,,,
,32,33,image30.png,DolThdr3,Elec,180,A piercng thunder attack!,"R (CF) ScrCrow3 (LV 9-S), (CF) RarScrC2 (LV 7-S), Chip Order",38,,,CG/CF,,,,,,,,,,,,,,,
,32,33,image30.png,DolThdr3,Elec,180,A piercng thunder attack!,V ScrCrow3 (LV 7-10),38,,,CG/CF,,,,,,,,,,,,,,,
,33,34,image36.png,ElcPuls1,Elec,100,Sprd elec puls that paralyzes,"J PulsBulb (LV 5-10), (CG) RarPsBlb (LV 7-10), Chip Order",32,Paralyzes for 90F.,Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,33,34,image36.png,ElcPuls1,Elec,100,Sprd elec puls that paralyzes,L (CG) PulsBulb (LV 9-S),32,Paralyzes for 90F.,Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,33,34,image36.png,ElcPuls1,Elec,100,Sprd elec puls that paralyzes,"S (CF) PulsBulb (LV 9-S), (CF) RarPsBlb (LV 7-10)",32,Paralyzes for 90F.,Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,34,35,image34.png,ElcPuls2,Elec,120,Sprd elec pulse. Pul enemy in.,"A (CF) PlsBulb2 (LV 9-S), (CF) RarPsBlb (LV 9-S), (CF) RarPsBl2 (LV 7-10)",36,"Pulls enemy forward a single panel, and has no endlag.",Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,34,35,image34.png,ElcPuls2,Elec,120,Sprd elec pulse. Pul enemy in.,"E (CG) PlsBulb2 (LV 9-S), (CG) RarPsBlb (LV 9-S), (CG) RarPsBl2 (LV 7-10), Chip Order",36,"Pulls enemy forward a single panel, and has no endlag.",Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,34,35,image34.png,ElcPuls2,Elec,120,Sprd elec pulse. Pul enemy in.,J PlsBulb2 (LV 7-10),36,"Pulls enemy forward a single panel, and has no endlag.",Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,35,36,image45.png,ElcPuls3,Elec,140,Sprd elec puls. Hit w/HP bug.,"A PlsBulb3 (LV 9-S), (CF) RarPsBl2 (LV 9-S), Chip Order",40,Gives Battle HP Bug and flashes.,Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,35,36,image45.png,ElcPuls3,Elec,140,Sprd elec puls. Hit w/HP bug.,J PlsBulb3 (LV 5-7),40,Gives Battle HP Bug and flashes.,Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
,35,36,image45.png,ElcPuls3,Elec,140,Sprd elec puls. Hit w/HP bug.,"S PlsBulb3 (LV 7-10), (CG) RarPsBl2 (LV 9-S)",40,Gives Battle HP Bug and flashes.,Pierces Invisibl,CG/CF,,,,,,,,,,,,,,,
-3,39,40,image35.png,RskyHny1,Wood,10,Bees attk whle hive defending,"B (CF) HonyBmbr (LV 9-S), (CF) RarHnyBm (LV 5-7)",21,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,39,40,image35.png,RskyHny1,Wood,10,Bees attk whle hive defending,"G (CG) HonyBmbr (LV 9-S), (CG) RarHnyBm (LV 5-7)",21,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,39,40,image35.png,RskyHny1,Wood,10,Bees attk whle hive defending,"S HonyBmbr (LV 5-10), Mr. Weather Comp 3 GMD, Chip Order",21,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,40,41,image37.png,RskyHny2,Wood,15,Bees attk whle hive defending,"C (CG) HnyBmbr2 (LV 9-S), (CG) RarHnyBm (LV 7-S), (CG) RarHyBm2 (LV 5-7)",28,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,40,41,image37.png,RskyHny2,Wood,15,Bees attk whle hive defending,"R (CF) HnyBmbr2 (LV 9-S), (CF) RarHnyBm (LV 7-S), (CF) RarHyBm2 (LV 5-7), Chip Order",28,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,40,41,image37.png,RskyHny2,Wood,15,Bees attk whle hive defending,V HnyBmbr2 (LV 5-10),28,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,41,42,image38.png,RskyHny3,Wood,20,Bees attk whle hive defending,"A HnyBmbr3 (LV 9-S), (CF) RarHyBm2 (LV 7-S), Chip Order",35,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,41,42,image38.png,RskyHny3,Wood,20,Bees attk whle hive defending,"D HnyBmbr3 (LV 7-10), (CG) RarHyBm2 (LV 7-S)",35,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,41,42,image38.png,RskyHny3,Wood,20,Bees attk whle hive defending,M HnyBmbr3 (LV 5-7),35,"Blocks all attacks except Fire attacks, and sends up to 3 extra swarms for each attack blocked.",Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,42,43,image41.png,RlngLog1,Wood,50,Send out 2 logs 2pnl fwd,"I (CF) Shrubby (LV 9-S), (CF) RarShrby (LV 5-10), Chip Order",14,Covers 2 rows depending on position but skips column in front of Megaman and fails over 1x2 holes.,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,42,43,image41.png,RlngLog1,Wood,50,Send out 2 logs 2pnl fwd,"K (CG) Shrubby (LV 9-S), (CG) RarShrby (LV 5-10), Mr. Weather Comp 2 GMD",14,Covers 2 rows depending on position but skips column in front of Megaman and fails over 1x2 holes.,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,42,43,image41.png,RlngLog1,Wood,50,Send out 2 logs 2pnl fwd,P Shrubby (LV 5-10),14,Covers 2 rows depending on position but skips column in front of Megaman and fails over 1x2 holes.,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,43,44,image39.png,RlngLog2,Wood,70,Send out 2 logs 2pnl fwd,"E (CF) Shrubby2 (LV 9-S), (CF) RarShrby (LV 9-S), (CF) RarShrb2 (LV 5-10), Chip Order",26,Covers 2 rows depending on position but skips column in front of Megaman and fails over 1x2 holes.,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,43,44,image39.png,RlngLog2,Wood,70,Send out 2 logs 2pnl fwd,"Q (CG) Shrubby2 (LV 9-S), (CG) RarShrby (LV 9-S), (CG) RarShrb2 (LV 5-10)",26,Covers 2 rows depending on position but skips column in front of Megaman and fails over 1x2 holes.,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,43,44,image39.png,RlngLog2,Wood,70,Send out 2 logs 2pnl fwd,Z Shrubby2 (LV 7-10),26,Covers 2 rows depending on position but skips column in front of Megaman and fails over 1x2 holes.,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
